Topic,ID,Question,Answer A,Answer B,Answer C,Answer D,Correct ,Explanation
,,,,Temperature Variation,Specific Gravity,Specific Heat,4,"When heat flows into an object, its thermal energy increases and so does its temperature. The amount of temperature increase depends on three things: 1) how much heat was added, 2) the size of the object, and 3) the material of which the object is made. When you add the same amount of heat to the same mass of different substances, the amount of temperature increase is different. Each substance has a specific heat, which is the amount of heat necessary to raise one mass unit of that substance by one temperature unit."
,,,,Metals And Carbonates,Metals And Freshwaters,Metals And Nonmetals,4,"Ionic bonds form only between metals and nonmetals. Thatâ€™s because metals â€œwantâ€ to give up electrons, and nonmetals â€œwantâ€ to gain electrons."
,,,,Temperature,Mass,Energy,4,"The number of molecular orbitals produced is the same as the number of atomic orbitals used to create them (the law of conservation of orbitals). As the overlap between two atomic orbitals increases, the difference in energy between the resulting bonding and antibonding molecular orbitals increases. When two atomic orbitals combine to form a pair of molecular orbitals, the bonding molecular orbital is stabilized about as much as the antibonding molecular orbital is destabilized. The interaction between atomic orbitals is greatest when they have the same energy."
,,,,Consumers,Catalysts,Products,4,"All chemical reactions involve both reactants and products. Reactants are substances that start a chemical reaction, and products are substances that are produced in the reaction."
,,,,Enzyme,Catalyst,Base,4,"Bases are used for a variety of purposes. For example, soaps contain bases such as potassium hydroxide (KOH). Other uses of bases can be seen in the Figure below ."
,,,,Wind,Electricity,Light,4,One of the most important series of endothermic reactions is photosynthesis. The energy needed for photosynthesis comes from light.
,,,,Vaporizing,Boiling,Melting,4,
,,,,Homeostasis,Saturation,Ph,4,"The simplest situation is a salt formed by combining a strong acid and a strong base. These salts are neither acidic nor basic, so they do not affect the pH of the solution when dissolved in water. For example, the ionic compound NaNO 3 could be prepared by combining the strong acid HNO 3 and the strong base NaOH. If we were to dissolve NaNO 3 in water, it would dissociate into Na + and NO 3 - ions. Neither ion is a strong enough acid or base to cause any noticeable proton transfers, so the pH of the pure water is not altered."
,,,,Balance,Liquid,Equilibrium,4,"can continue indefinitely. In contrast, the expansion of a gas into a vacuum (Pext = 0) is irreversible because the external pressure is measurably less than the internal pressure of the gas. No equilibrium states exist, and the gas expands irreversibly. When gas escapes from a microscopic hole in a balloon into a vacuum, for example, the process is irreversible; the direction of airflow cannot change. Because work done during the expansion of a gas depends on the opposing external pressure (w = PextÎ”V), work done in a reversible process is always equal to or greater than work done in a corresponding irreversible process: wrev â‰¥ wirrev. Whether a process is reversible or irreversible, Î”E = q + w. Because E is a state function, the magnitude of Î”E does not depend on reversibility and is independent of the path taken. So Equation 18.14."
,,,,They Are Unchanged,They Are Equal,They Are Lower,4,"When gas molecules are warm, they move vigorously. They take up more space. Air density and air pressure are lower."
,,,,Plasma,Neutron,Gamma,4,"Sources of gamma rays include radioactive atoms, nuclear explosions, and stars. Gamma rays from space are absorbed by Earthâ€™s atmosphere."
,,,,Sodium And Solvent,Solute And Cytosol,Solute And Solvent,4,"All solutions have two parts: the solute and the solvent. The solute is the substance that dissolves, and the solvent is the substance that dissolves the solute. Particles of solvent pull apart particles of solute, and the solute particles spread throughout the solvent. Salt water, such as the ocean water in the Figure below , is an example of a solution. In a saltwater solution, salt is the solute and water is the solvent."
,,,,Density,Protons,Electrons,4,"In the course of this reaction, electrons are shifted away from each hydrogen atom and towards the oxygen atom. The hydrogen is oxidized because it undergoes a partial loss of electrons. Even though the loss is not complete enough to form ions, the hydrogen atoms in water have less electron density near them than they did in the H 2 molecule. The oxygen is reduced because it undergoes a partial gain of electrons. The oxygen atom in water has greater electron density near it than they did in the O 2 molecule."
,,,,Magnetic Process,Oxidized Process,Exothermic Process,4,"Matter undergoing chemical reactions and physical changes can release or absorb heat. A change that releases heat is called an exothermic process. For example, the combustion reaction that occurs when using an oxyacetylene torch is an exothermic processâ€”this process also releases energy in the form of light as evidenced by the torchâ€™s flame (Figure 5.7). A reaction or change that absorbs heat is an endothermic process. A cold pack used to treat muscle strains provides an example of an endothermic process. When the substances in the cold pack (water and a salt like ammonium nitrate) are brought together, the resulting process absorbs heat, leading to the sensation of cold."
,,,,Chemistry,Biology,Alchemy,4,"Alchemy was a somewhat mystical and secretive approach to learning how to manipulate matter. Practitioners, called alchemists, thought that all matter was composed of different proportions of the four basic elementsâ€”fire, water, earth, and airâ€”and believed that if you changed the relative proportions of these elements in a substance, you could change the substance. The long-standing attempts to â€œtransmuteâ€ common metals into gold represented one goal of alchemy. Alchemyâ€™s other major goal was to synthesize the philosopherâ€™s stone, a material that could impart long lifeâ€”even immortality. Alchemists used symbols to represent substances, some of which are shown in the accompanying figure. This was not done to better communicate ideas, as chemists do today, but to maintain the secrecy of alchemical knowledge, keeping others from sharing in it."
,,,,Reactions,Organisms,Isotopes,4,"The first plants were probably similar to the stoneworts in Figure below . Stoneworts are green algae. Like stoneworts, the first plants were aquatic. They may have had stalks but not stems. They also may have had hair-like structures called rhizoids but not roots. The first plants probably had male and female reproductive organs and needed water to reproduce. In stoneworts, sperm need at least a thin film of moisture to swim to eggs."
,,,,Water,Yeast,Solvent,4,"Dilution is also a common means of preparing solutions of a desired concentration. By adding solvent to a measured portion of a more concentrated stock solution, we can achieve a particular concentration. For example, commercial pesticides are typically sold as solutions in which the active ingredients are far more concentrated than is appropriate for their application. Before they can be used on crops, the pesticides must be diluted. This is also a very common practice for the preparation of a number of common laboratory reagents (Figure 3.17)."
,,,,Magnetism,Electrical Attraction,Radioactivity,4,"Radioactivity is the ability of an atom to emit, or give off, charged particles and energy from its nucleus. The charged particles and energy are called by the general term radiation . Only unstable nuclei emit radiation. They are unstable because they have too much energy, too many protons, or an unstable ratio of protons to neutrons. For example, all elements with more than 83 protonsâ€”such as uranium, radium, and poloniumâ€”have unstable nuclei. They are called radioactive elements. The nuclei of these elements must lose protons to become more stable. When they do, they become different elements."
,,,,Newton'S Model,Kinetic Model,Bohr Model,4,"According to the Bohr model, often referred to as a planetary model , the electrons encircle the nucleus of the atom in specific allowable paths called orbits. When the electron is in one of these orbits, its energy is fixed. The ground state of the hydrogen atom, where its energy is lowest, is when the electron is in the orbit that is closest to the nucleus. The orbits that are further from the nucleus are all of successively greater energy. The electron is not allowed to occupy any of the spaces in between the orbits. An everyday analogy to the Bohr model is the rungs of a ladder. As you move up or down a ladder, you can only occupy specific rungs and cannot be in the spaces in between rungs. Moving up the ladder increases your potential energy, while moving down the ladder decreases your energy."
,,,,Force,Weight,Light,4,"Under the right conditions, light can be used to eject electrons from a solid material."
,,,,Fission Bond,Covalent Bond,Hydrogen Bond,4,"Opposites attract when it comes to charged molecules. In the case of water, the positive (hydrogen) end of one water molecule is attracted to the negative (oxygen) end of a nearby water molecule. Because of this attraction, weak bonds form between adjacent water molecules, as shown in Figure below . The type of bond that forms between molecules is called a hydrogen bond . Bonds between molecules are not as strong as bonds within molecules, but in water they are strong enough to hold together nearby molecules."
,,,,Oxygen,Helium,Carbon,4,"Carbon has the ability to form very long chains of interconnecting C-C bonds. This property allows carbon to form the backbone of organic compounds , carbon-containing compounds, which are the basis of all known organic life. Nearly 10 million carbon-containing organic compounds are known. Types of carbon compounds in organisms include carbohydrates, lipids, proteins, and nucleic acids. The elements found in each type are listed in the table below. Elements other than carbon and hydrogen usually occur within organic compounds in smaller groups of elements called functional groups . When organic compounds react with other compounds, generally just the functional groups are involved. Therefore, functional groups generally determine the nature and functions of organic compounds."
,,,,Isotopes,Negative Charges,Actual Charges,4,"Calculating Formal Charge The formal charge of an atom in a molecule is the hypothetical charge the atom would have if we could redistribute the electrons in the bonds evenly between the atoms. Another way of saying this is that formal charge results when we take the number of valence electrons of a neutral atom, subtract the nonbonding electrons, and then subtract the number of bonds connected to that atom in the Lewis structure. Thus, we calculate formal charge as follows: formal charge = # valence shell electrons (free atom) âˆ’ # lone pair electrons âˆ’ 1 # bonding electrons 2 We can double-check formal charge calculations by determining the sum of the formal charges for the whole structure. The sum of the formal charges of all atoms in a molecule must be zero; the sum of the formal charges in an ion should equal the charge of the ion. We must remember that the formal charge calculated for an atom is not the actual charge of the atom in the molecule. Formal charge is only a useful bookkeeping procedure; it does not indicate the presence of actual charges."
